technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag
COMBINED,lower,VSM,LSI,INDEPENDENT,MAX,PCA,0.6197666474962035,0.85403914220279,233.2888888888889
COMBINED,lower,VSM,LSI,INDEPENDENT,MAX,SUM,0.6036982840873433,0.8286869317787494,273.8777777777778
COMBINED,lower,VSM,LSI,INDEPENDENT,MAX,MAX,0.5896085581170861,0.8338850718301063,265.55555555555554
COMBINED,lower,VSM,LSI,GLOBAL,PCA,PCA,0.6193036456132021,0.8915920605177319,173.54444444444445
COMBINED,lower,VSM,LSI,GLOBAL,PCA,SUM,0.5963265647575616,0.8674543687972794,212.27777777777777
COMBINED,lower,VSM,LSI,GLOBAL,PCA,MAX,0.5582072254284693,0.8388750086751335,257.7888888888889
COMBINED,lower,VSM,LSI,GLOBAL,SUM,PCA,0.5497211583642825,0.805388992990492,311.5444444444444
COMBINED,lower,VSM,LSI,GLOBAL,SUM,SUM,0.5374272907418555,0.7804462488722327,351.5888888888889
COMBINED,lower,VSM,LSI,GLOBAL,SUM,MAX,0.5184922263122885,0.7309077659795962,430.93333333333334
COMBINED,lower,VSM,LSI,GLOBAL,MAX,PCA,0.6369453999583464,0.8884967728503018,178.46666666666667
COMBINED,lower,VSM,LSI,GLOBAL,MAX,SUM,0.6177083350345689,0.8586681934901796,226.35555555555555
COMBINED,lower,VSM,LSI,GLOBAL,MAX,MAX,0.5887549288532674,0.8151363731001458,295.85555555555555
COMBINED,lower,VSM,VSM,INDEPENDENT,PCA,PCA,0.6736561315537831,0.9330383787910335,107.72222222222223
COMBINED,lower,VSM,VSM,INDEPENDENT,PCA,SUM,0.6639315863407816,0.9297001873828856,113.06666666666666
COMBINED,lower,VSM,VSM,INDEPENDENT,PCA,MAX,0.6750118251680688,0.936633354153654,101.96666666666667
COMBINED,lower,VSM,VSM,INDEPENDENT,SUM,PCA,0.6654842662580392,0.9330730793254217,107.66666666666667
COMBINED,lower,VSM,VSM,INDEPENDENT,SUM,SUM,0.6368512380075539,0.9170206121174266,133.36666666666667
COMBINED,lower,VSM,VSM,INDEPENDENT,SUM,MAX,0.643516723992718,0.9234957318342703,123.0
COMBINED,lower,VSM,VSM,INDEPENDENT,MAX,PCA,0.6661871358076853,0.921837046290513,125.65555555555555
COMBINED,lower,VSM,VSM,INDEPENDENT,MAX,SUM,0.6442655059139137,0.9137310014574226,138.63333333333333
COMBINED,lower,VSM,VSM,INDEPENDENT,MAX,MAX,0.6536930068083926,0.9220799500312306,125.26666666666667
COMBINED,lower,VSM,VSM,GLOBAL,PCA,PCA,0.6736561315537831,0.9330383787910335,107.72222222222223
COMBINED,lower,VSM,VSM,GLOBAL,PCA,SUM,0.6639315863407816,0.9297001873828856,113.06666666666666
COMBINED,lower,VSM,VSM,GLOBAL,PCA,MAX,0.6750118251680688,0.936633354153654,101.96666666666667
COMBINED,lower,VSM,VSM,GLOBAL,SUM,PCA,0.6678330172792394,0.9350510097855508,104.5
COMBINED,lower,VSM,VSM,GLOBAL,SUM,SUM,0.6440377562755205,0.9213304184884448,126.46666666666667
COMBINED,lower,VSM,VSM,GLOBAL,SUM,MAX,0.6497136192710451,0.9278749392740648,115.9888888888889
COMBINED,lower,VSM,VSM,GLOBAL,MAX,PCA,0.6634069450517375,0.9210389339995837,126.93333333333334
COMBINED,lower,VSM,VSM,GLOBAL,MAX,SUM,0.6504100460917309,0.9165764452772573,134.07777777777778
COMBINED,lower,VSM,VSM,GLOBAL,MAX,MAX,0.6647226696165409,0.9246894302172254,121.08888888888889
COMBINED,all,LSI,LSI,INDEPENDENT,PCA,PCA,0.6671670941065283,0.8771739884794225,196.64444444444445
COMBINED,all,LSI,LSI,INDEPENDENT,PCA,SUM,0.675513330322304,0.8774168922201402,196.25555555555556
COMBINED,all,LSI,LSI,INDEPENDENT,PCA,MAX,0.6764314697840784,0.8879242140328962,177.46666666666667
COMBINED,all,LSI,LSI,INDEPENDENT,SUM,PCA,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,LSI,INDEPENDENT,SUM,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,LSI,INDEPENDENT,SUM,MAX,0.8989749759091789,0.9651398431535847,53.84444444444444
COMBINED,all,LSI,LSI,INDEPENDENT,MAX,PCA,0.8546194971122352,0.9622805191199945,60.388888888888886
COMBINED,all,LSI,LSI,INDEPENDENT,MAX,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,LSI,INDEPENDENT,MAX,MAX,0.8989749759091787,0.9651398431535847,53.84444444444444
COMBINED,all,LSI,LSI,GLOBAL,PCA,PCA,0.6671670941065283,0.8771739884794225,196.64444444444445
COMBINED,all,LSI,LSI,GLOBAL,PCA,SUM,0.675513330322304,0.8774168922201402,196.25555555555556
COMBINED,all,LSI,LSI,GLOBAL,PCA,MAX,0.6764314697840784,0.8879242140328962,177.46666666666667
COMBINED,all,LSI,LSI,GLOBAL,SUM,PCA,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,LSI,GLOBAL,SUM,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,LSI,GLOBAL,SUM,MAX,0.8989749759091789,0.9651398431535847,53.84444444444444
COMBINED,all,LSI,LSI,GLOBAL,MAX,PCA,0.8546194971122352,0.9622805191199945,60.388888888888886
COMBINED,all,LSI,LSI,GLOBAL,MAX,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,LSI,GLOBAL,MAX,MAX,0.8989749759091787,0.9651398431535847,53.84444444444444
COMBINED,all,LSI,VSM,INDEPENDENT,PCA,PCA,0.6671670941065283,0.8771739884794225,196.64444444444445
COMBINED,all,LSI,VSM,INDEPENDENT,PCA,SUM,0.675513330322304,0.8774168922201402,196.25555555555556
COMBINED,all,LSI,VSM,INDEPENDENT,PCA,MAX,0.6764314697840784,0.8879242140328962,177.46666666666667
COMBINED,all,LSI,VSM,INDEPENDENT,SUM,PCA,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,VSM,INDEPENDENT,SUM,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,VSM,INDEPENDENT,SUM,MAX,0.8989749759091789,0.9651398431535847,53.84444444444444
COMBINED,all,LSI,VSM,INDEPENDENT,MAX,PCA,0.8546194971122352,0.9622805191199945,60.388888888888886
COMBINED,all,LSI,VSM,INDEPENDENT,MAX,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,VSM,INDEPENDENT,MAX,MAX,0.8989749759091787,0.9651398431535847,53.84444444444444
COMBINED,all,LSI,VSM,GLOBAL,PCA,PCA,0.6671670941065283,0.8771739884794225,196.64444444444445
COMBINED,all,LSI,VSM,GLOBAL,PCA,SUM,0.675513330322304,0.8774168922201402,196.25555555555556
COMBINED,all,LSI,VSM,GLOBAL,PCA,MAX,0.6764314697840784,0.8879242140328962,177.46666666666667
COMBINED,all,LSI,VSM,GLOBAL,SUM,PCA,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,VSM,GLOBAL,SUM,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,VSM,GLOBAL,SUM,MAX,0.8989749759091789,0.9651398431535847,53.84444444444444
COMBINED,all,LSI,VSM,GLOBAL,MAX,PCA,0.8546194971122352,0.9622805191199945,60.388888888888886
COMBINED,all,LSI,VSM,GLOBAL,MAX,SUM,0.8990943419076058,0.9650426816572976,55.96666666666667
COMBINED,all,LSI,VSM,GLOBAL,MAX,MAX,0.8989749759091787,0.9651398431535847,53.84444444444444
COMBINED,all,VSM,LSI,INDEPENDENT,PCA,PCA,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,LSI,INDEPENDENT,PCA,SUM,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,LSI,INDEPENDENT,PCA,MAX,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,LSI,INDEPENDENT,SUM,PCA,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,INDEPENDENT,SUM,SUM,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,INDEPENDENT,SUM,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,INDEPENDENT,MAX,PCA,0.8857402164946685,0.9646922062599763,58.94444444444444
COMBINED,all,VSM,LSI,INDEPENDENT,MAX,SUM,0.8877325338894626,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,INDEPENDENT,MAX,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,GLOBAL,PCA,PCA,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,LSI,GLOBAL,PCA,SUM,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,LSI,GLOBAL,PCA,MAX,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,LSI,GLOBAL,SUM,PCA,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,GLOBAL,SUM,SUM,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,GLOBAL,SUM,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,GLOBAL,MAX,PCA,0.8857402164946685,0.9646922062599763,58.94444444444444
COMBINED,all,VSM,LSI,GLOBAL,MAX,SUM,0.8877325338894626,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,LSI,GLOBAL,MAX,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,INDEPENDENT,PCA,PCA,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,VSM,INDEPENDENT,PCA,SUM,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,VSM,INDEPENDENT,PCA,MAX,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,VSM,INDEPENDENT,SUM,PCA,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,INDEPENDENT,SUM,SUM,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,INDEPENDENT,SUM,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,INDEPENDENT,MAX,PCA,0.8857402164946685,0.9646922062599763,58.94444444444444
COMBINED,all,VSM,VSM,INDEPENDENT,MAX,SUM,0.8877325338894626,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,INDEPENDENT,MAX,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,GLOBAL,PCA,PCA,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,VSM,GLOBAL,PCA,SUM,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,VSM,GLOBAL,PCA,MAX,0.6984991394752803,0.9160004164064126,136.9
COMBINED,all,VSM,VSM,GLOBAL,SUM,PCA,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,GLOBAL,SUM,SUM,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,GLOBAL,SUM,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,GLOBAL,MAX,PCA,0.8857402164946685,0.9646922062599763,58.94444444444444
COMBINED,all,VSM,VSM,GLOBAL,MAX,SUM,0.8877325338894626,0.9647754875425081,58.81111111111111
COMBINED,all,VSM,VSM,GLOBAL,MAX,MAX,0.8877325338894625,0.9647754875425081,58.81111111111111
