technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag
TRANSITIVE,all,NA,VSM,GLOBAL,PCA,NA,0.715966883500887,0.85,240.24444444444444
TRANSITIVE,all,NA,VSM,GLOBAL,SUM,NA,0.715966883500887,0.85,240.0222222222222
TRANSITIVE,all,NA,VSM,GLOBAL,MAX,NA,0.715966883500887,0.85,240.3
COMBINED,none,LSI,LSI,INDEPENDENT,PCA,PCA,0.5128254409026985,0.866604205704768,213.56666666666666
COMBINED,none,LSI,LSI,INDEPENDENT,PCA,SUM,0.4911902012398474,0.8645776944964952,216.8111111111111
COMBINED,none,LSI,LSI,INDEPENDENT,PCA,MAX,0.4484406944398571,0.82877368311472,274.1333333333333
COMBINED,none,LSI,LSI,INDEPENDENT,SUM,PCA,0.3129925654635935,0.8188076896384205,290.0888888888889
COMBINED,none,LSI,LSI,INDEPENDENT,SUM,SUM,0.25657388068045384,0.7711569158165035,366.3777777777778
COMBINED,none,LSI,LSI,INDEPENDENT,SUM,MAX,0.17376424783408023,0.6591713512388091,545.6666666666666
COMBINED,none,LSI,LSI,INDEPENDENT,MAX,PCA,0.49830831641540074,0.8602123672704558,223.8
COMBINED,none,LSI,LSI,INDEPENDENT,MAX,SUM,0.4753951925160019,0.8634880977167047,218.55555555555554
COMBINED,none,LSI,LSI,INDEPENDENT,MAX,MAX,0.46926208026110694,0.8444166840169339,249.0888888888889
COMBINED,none,LSI,LSI,GLOBAL,PCA,PCA,0.5102653047676668,0.8676521618432923,211.88888888888889
COMBINED,none,LSI,LSI,GLOBAL,PCA,SUM,0.48941552650305253,0.8655770698868763,215.2111111111111
COMBINED,none,LSI,LSI,GLOBAL,PCA,MAX,0.44530557548171196,0.8293150114511764,273.26666666666665
COMBINED,none,LSI,LSI,GLOBAL,SUM,PCA,0.3033403069098717,0.8169893816364773,293.0
COMBINED,none,LSI,LSI,GLOBAL,SUM,SUM,0.2500774490042268,0.7698313554028732,368.5
COMBINED,none,LSI,LSI,GLOBAL,SUM,MAX,0.17440247079132581,0.6610937608439171,542.5888888888888
COMBINED,none,LSI,LSI,GLOBAL,MAX,PCA,0.49836908561984306,0.8600805052397805,224.01111111111112
COMBINED,none,LSI,LSI,GLOBAL,MAX,SUM,0.478522704400276,0.862974529807759,219.37777777777777
COMBINED,none,LSI,LSI,GLOBAL,MAX,MAX,0.46856113250551984,0.8402734402109793,255.72222222222223
COMBINED,none,LSI,VSM,INDEPENDENT,PCA,PCA,0.5031789537498919,0.8642168089388578,217.38888888888889
COMBINED,none,LSI,VSM,INDEPENDENT,PCA,SUM,0.5016449648898454,0.8740162398500937,201.7
COMBINED,none,LSI,VSM,INDEPENDENT,PCA,MAX,0.4854322782543102,0.8732320077729196,202.95555555555555
COMBINED,none,LSI,VSM,INDEPENDENT,SUM,PCA,0.4937377231446691,0.8629606495940039,219.4
COMBINED,none,LSI,VSM,INDEPENDENT,SUM,SUM,0.45613723461425876,0.8694774099521132,208.96666666666667
COMBINED,none,LSI,VSM,INDEPENDENT,SUM,MAX,0.4666207425346941,0.8699215767922827,208.25555555555556
COMBINED,none,LSI,VSM,INDEPENDENT,MAX,PCA,0.4979723349416176,0.8565341106253036,229.6888888888889
COMBINED,none,LSI,VSM,INDEPENDENT,MAX,SUM,0.504357814331525,0.8590672496356445,225.63333333333333
COMBINED,none,LSI,VSM,INDEPENDENT,MAX,MAX,0.4834072180066231,0.8631757929072107,219.05555555555554
COMBINED,none,LSI,VSM,GLOBAL,PCA,PCA,0.5031789537498919,0.8642168089388578,217.38888888888889
COMBINED,none,LSI,VSM,GLOBAL,PCA,SUM,0.5016449648898454,0.8740162398500937,201.7
COMBINED,none,LSI,VSM,GLOBAL,PCA,MAX,0.4854322782543102,0.8732320077729198,202.95555555555555
COMBINED,none,LSI,VSM,GLOBAL,SUM,PCA,0.49641242116290196,0.8621625373030745,220.67777777777778
COMBINED,none,LSI,VSM,GLOBAL,SUM,SUM,0.46557322441401927,0.8689430217225345,209.82222222222222
COMBINED,none,LSI,VSM,GLOBAL,SUM,MAX,0.4690456271352803,0.8686376570199181,210.3111111111111
COMBINED,none,LSI,VSM,GLOBAL,MAX,PCA,0.4950725640730087,0.8563189673120967,230.03333333333333
COMBINED,none,LSI,VSM,GLOBAL,MAX,SUM,0.503358470974546,0.8588035255742938,226.05555555555554
COMBINED,none,LSI,VSM,GLOBAL,MAX,MAX,0.48340659418967985,0.862801027135818,219.65555555555557
COMBINED,none,VSM,LSI,INDEPENDENT,PCA,PCA,0.43924432141956715,0.8412103546394615,254.22222222222223
COMBINED,none,VSM,LSI,INDEPENDENT,PCA,SUM,0.39662887453775825,0.8129155388992991,299.52222222222224
COMBINED,none,VSM,LSI,INDEPENDENT,PCA,MAX,0.2956451945137726,0.7214310500381707,445.9888888888889
COMBINED,none,VSM,LSI,INDEPENDENT,SUM,PCA,0.25998562854682933,0.7461725310569783,406.3777777777778
COMBINED,none,VSM,LSI,INDEPENDENT,SUM,SUM,0.21003580720105156,0.7090013186203067,465.8888888888889
COMBINED,none,VSM,LSI,INDEPENDENT,SUM,MAX,0.17376424783408023,0.6591713512388091,545.6666666666666
COMBINED,none,VSM,LSI,INDEPENDENT,MAX,PCA,0.47078406194730715,0.8684502741342217,210.61111111111111
COMBINED,none,VSM,LSI,INDEPENDENT,MAX,SUM,0.43218482625846155,0.8520508015823444,236.86666666666667
COMBINED,none,VSM,LSI,INDEPENDENT,MAX,MAX,0.3707771366562446,0.7832743424248734,346.97777777777776
