technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag,name
TRANSITIVE,none,NA,LSI,INDEPENDENT,PCA,NA,0.7013529235846847,0.6234731047326906,168.6840490797546,(x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,none,NA,LSI,INDEPENDENT,SUM,NA,0.7794712076161865,0.6970585013146364,135.71779141104295,(x (SUM INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,none,NA,LSI,INDEPENDENT,MAX,NA,0.6933994092763271,0.6333910769062225,164.24079754601226,(x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,none,NA,LSI,GLOBAL,PCA,NA,0.6920406470917853,0.5997343339176162,179.31901840490798,(x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,none,NA,LSI,GLOBAL,MAX,NA,0.6933678140556424,0.63142254601227,165.12269938650306,(x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,none,NA,VSM,INDEPENDENT,PCA,NA,0.7296626427846185,0.7027638173751095,133.25766871165644,(x (PCA INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,none,NA,VSM,INDEPENDENT,SUM,NA,0.7803351288921136,0.7140066964285714,128.07055214723925,(x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,none,NA,VSM,INDEPENDENT,MAX,NA,0.7255295857617241,0.6590521609333918,152.7254601226994,(x (MAX INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,none,NA,VSM,GLOBAL,PCA,NA,0.7296626427846185,0.7027638173751095,133.25766871165644,(x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,none,NA,VSM,GLOBAL,SUM,NA,0.7803351288921136,0.7140066964285714,128.07055214723925,(x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,none,NA,LSI,GLOBAL,SUM,NA,0.7664918179409108,0.6809268185801929,142.94478527607362,(x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,upper,NA,LSI,INDEPENDENT,PCA,NA,0.8429816333372437,0.7585759476336548,108.1579754601227,(x (PCA INDEPENDENT) ((. (LSI T) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,upper,NA,VSM,GLOBAL,PCA,NA,0.8352624807561069,0.7666280948729185,104.07208588957056,(x (PCA GLOBAL) ((. (VSM T) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,none,NA,VSM,GLOBAL,MAX,NA,0.7255295857617241,0.6590521609333918,152.7254601226994,(x (MAX GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,upper,NA,VSM,INDEPENDENT,MAX,NA,0.7178990148647548,0.6582835780017529,153.40490797546013,(x (MAX INDEPENDENT) ((. (VSM T) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,upper,NA,VSM,INDEPENDENT,SUM,NA,0.8687461644040426,0.7915753724802805,93.26687116564418,(x (SUM INDEPENDENT) ((. (VSM T) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,upper,NA,LSI,GLOBAL,MAX,NA,0.6448165415470618,0.5955199660385627,181.20705521472394,(x (MAX GLOBAL) ((. (LSI T) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,upper,NA,VSM,INDEPENDENT,PCA,NA,0.8352624807561069,0.7666280948729185,104.07208588957056,(x (PCA INDEPENDENT) ((. (VSM T) (0 1)) (. (VSM NT) (1 2))))
TRANSITIVE,upper,NA,LSI,GLOBAL,SUM,NA,0.8652849919359769,0.7842113551709027,96.67331288343559,(x (SUM GLOBAL) ((. (LSI T) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,upper,NA,LSI,GLOBAL,PCA,NA,0.8309726593024934,0.7525094489482911,110.87576687116564,(x (PCA GLOBAL) ((. (LSI T) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,upper,NA,LSI,INDEPENDENT,MAX,NA,0.6448165415470618,0.5955199660385627,181.20705521472394,(x (MAX INDEPENDENT) ((. (LSI T) (0 1)) (. (LSI NT) (1 2))))
TRANSITIVE,upper,NA,LSI,INDEPENDENT,SUM,NA,0.866366674841281,0.78575194456617,95.98312883435582,(x (SUM INDEPENDENT) ((. (LSI T) (0 1)) (. (LSI NT) (1 2))))
COMBINED,lower,VSM,LSI,GLOBAL,PCA,PCA,0.9673143404725862,0.9614578768624014,17.266871165644172,(o (PCA) ((. (VSM NT) (0 2)) (x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,GLOBAL,SUM,PCA,0.9301202615244474,0.944531934706398,24.849693251533743,(o (PCA) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,GLOBAL,PCA,MAX,0.970648889392741,0.9647341969763366,15.799079754601227,(o (MAX) ((. (VSM NT) (0 2)) (x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
