dataset,technique_type,query_index,metric,query_id,metric_score
Drone,HYBRID,26,AP,51,0.16666666666666666
Drone,HYBRID,14,LAG_NORMALIZED_INVERTED,27,0.45378787878787885
Drone,HYBRID,16,LAG_NORMALIZED_INVERTED,29,0.297064393939394
Drone,HYBRID,17,LAG_NORMALIZED_INVERTED,35,0.827724358974359
Drone,DIRECT,26,AP,51,0.2
Drone,HYBRID,18,LAG_NORMALIZED_INVERTED,37,0.3765625
Drone,HYBRID,19,LAG_NORMALIZED_INVERTED,39,0.36908143939393945
Drone,DIRECT,28,AP,53,0.40108390137602534
Drone,DIRECT,23,AUC,48,0.6502371541501977
Drone,DIRECT,24,AUC,49,0.613596837944664
Drone,DIRECT,25,AUC,50,0.6473386034255599
Drone,DIRECT,26,AUC,51,0.9911894273127753
Drone,DIRECT,0,AUC,0,0.5225164690382083
Drone,DIRECT,27,AUC,52,0.6552832674571806
Drone,HYBRID,20,LAG_NORMALIZED_INVERTED,41,0.416003787878788
Drone,HYBRID,21,LAG_NORMALIZED_INVERTED,44,0.41122159090909094
Drone,HYBRID,22,LAG_NORMALIZED_INVERTED,45,0.42367424242424245
Drone,DIRECT,9,LAG_NORMALIZED_INVERTED,15,0.19034090909090906
Drone,DIRECT,5,LAG_NORMALIZED_INVERTED,7,0.29824810606060603
Drone,DIRECT,11,LAG_NORMALIZED_INVERTED,23,0.42159090909090924
Drone,HYBRID,27,AUC,52,0.7227931488801054
Drone,HYBRID,15,AUC,28,0.6542292490118577
Drone,DIRECT,10,LAG_NORMALIZED_INVERTED,16,0.2787405303030305
Drone,HYBRID,17,AUC,35,0.9161155586494953
Drone,HYBRID,18,AUC,37,0.6414492753623189
Drone,HYBRID,19,AUC,39,0.637285902503294
Drone,HYBRID,20,AUC,41,0.6633992094861659
Drone,HYBRID,21,AUC,44,0.660737812911726
Drone,HYBRID,22,AUC,45,0.6676679841897234
Drone,HYBRID,24,AUC,49,0.6760737812911727
Drone,HYBRID,25,AUC,50,0.6843478260869564
Drone,HYBRID,26,AUC,51,0.9889867841409692
Drone,HYBRID,18,AP,37,0.3893414004952012
Drone,HYBRID,17,AP,35,0.3976980791199915
Drone,HYBRID,16,AP,29,0.3018215894003915
Drone,DIRECT,15,AUC,28,0.5658234519104085
Drone,DIRECT,14,AUC,27,0.6505401844532279
Drone,DIRECT,12,AUC,24,0.6029117259552041
Drone,DIRECT,11,AUC,23,0.6689591567852436
Drone,HYBRID,14,AUC,27,0.6844268774703557
Drone,HYBRID,12,AUC,24,0.6426086956521739
Drone,HYBRID,16,AUC,29,0.5971541501976285
Drone,HYBRID,9,AP,15,0.32609030937417266
Drone,HYBRID,14,AP,27,0.41385203386871205
Drone,HYBRID,15,AP,28,0.3356453788818501
Drone,HYBRID,23,LAG_NORMALIZED_INVERTED,48,0.4670928030303031
Drone,DIRECT,18,AUC,37,0.5885375494071147
Drone,DIRECT,17,AUC,35,0.9298642533936652
Drone,DIRECT,16,AUC,29,0.5306719367588932
Drone,HYBRID,24,LAG_NORMALIZED_INVERTED,49,0.43877840909090915
Drone,HYBRID,25,LAG_NORMALIZED_INVERTED,50,0.4536458333333334
Drone,HYBRID,5,AP,7,0.41460579777350726
Drone,HYBRID,23,AUC,48,0.6918313570487484
Drone,HYBRID,6,AP,8,0.41046775272109715
Drone,DIRECT,22,AUC,45,0.6120421607378128
Drone,HYBRID,7,AP,9,0.3991914460360301
Drone,HYBRID,8,AP,10,0.40590836978182565
TrainController,HYBRID,5,LAG_NORMALIZED_INVERTED,8,0.7588428093645485
TrainController,HYBRID,48,LAG_NORMALIZED_INVERTED,74,0.7296588628762541
TrainController,HYBRID,54,LAG_NORMALIZED_INVERTED,87,0.7362140468227425
TrainController,HYBRID,28,LAG_NORMALIZED_INVERTED,50,0.7838996655518394
TrainController,HYBRID,44,LAG_NORMALIZED_INVERTED,68,0.4913333333333333
TrainController,HYBRID,25,LAG_NORMALIZED_INVERTED,47,0.7675183946488294
TrainController,HYBRID,27,LAG_NORMALIZED_INVERTED,49,0.6523333333333333
TrainController,HYBRID,49,LAG_NORMALIZED_INVERTED,75,0.730989966555184
TrainController,HYBRID,50,LAG_NORMALIZED_INVERTED,76,0.732066889632107
TrainController,HYBRID,52,LAG_NORMALIZED_INVERTED,80,0.7675518394648829
TrainController,HYBRID,26,LAG_NORMALIZED_INVERTED,48,0.7745953177257525
TrainController,HYBRID,45,LAG_NORMALIZED_INVERTED,70,0.69
TrainController,HYBRID,51,LAG_NORMALIZED_INVERTED,79,0.34866666666666657
TrainController,HYBRID,47,LAG_NORMALIZED_INVERTED,72,0.7689230769230769
TrainController,HYBRID,46,LAG_NORMALIZED_INVERTED,71,0.7747357859531773
TrainController,HYBRID,18,LAG_NORMALIZED_INVERTED,38,0.7710367892976588
TrainController,HYBRID,53,LAG_NORMALIZED_INVERTED,86,0.7556387959866221
TrainController,HYBRID,42,LAG_NORMALIZED_INVERTED,66,0.8170969899665552
TrainController,HYBRID,40,LAG_NORMALIZED_INVERTED,63,0.8121070234113712
TrainController,HYBRID,39,LAG_NORMALIZED_INVERTED,62,0.8031705685618729
TrainController,HYBRID,41,LAG_NORMALIZED_INVERTED,65,0.7905284280936455
TrainController,HYBRID,29,LAG_NORMALIZED_INVERTED,52,0.7995919732441472
TrainController,HYBRID,30,LAG_NORMALIZED_INVERTED,53,0.8052976588628763
TrainController,HYBRID,31,LAG_NORMALIZED_INVERTED,54,0.882
TrainController,HYBRID,32,LAG_NORMALIZED_INVERTED,55,0.6053333333333333
TrainController,HYBRID,33,LAG_NORMALIZED_INVERTED,56,0.8273979933110368
TrainController,HYBRID,35,LAG_NORMALIZED_INVERTED,58,0.944
TrainController,HYBRID,36,LAG_NORMALIZED_INVERTED,59,0.0
TrainController,HYBRID,0,LAG_NORMALIZED_INVERTED,1,1.0
TrainController,HYBRID,55,LAG_NORMALIZED_INVERTED,88,0.7684013377926422
TrainController,HYBRID,37,LAG_NORMALIZED_INVERTED,60,0.45599999999999996
TrainController,HYBRID,38,LAG_NORMALIZED_INVERTED,61,0.998
TrainController,HYBRID,43,LAG_NORMALIZED_INVERTED,67,0.7793177257525084
TrainController,HYBRID,9,LAG_NORMALIZED_INVERTED,16,0.8004548494983277
TrainController,HYBRID,10,LAG_NORMALIZED_INVERTED,23,0.815
TrainController,HYBRID,11,LAG_NORMALIZED_INVERTED,27,0.7647357859531773
TrainController,HYBRID,6,LAG_NORMALIZED_INVERTED,9,0.813371237458194
TrainController,HYBRID,7,LAG_NORMALIZED_INVERTED,10,0.7340869565217392
TrainController,HYBRID,8,LAG_NORMALIZED_INVERTED,11,0.998
TrainController,HYBRID,59,LAG_NORMALIZED_INVERTED,95,0.7726153846153846
TrainController,HYBRID,24,LAG_NORMALIZED_INVERTED,46,0.6416666666666666
TrainController,HYBRID,23,LAG_NORMALIZED_INVERTED,45,0.7819598662207358
TrainController,HYBRID,22,LAG_NORMALIZED_INVERTED,43,0.9088
TrainController,HYBRID,96,AUC,163,0.689292948325404
TrainController,HYBRID,21,LAG_NORMALIZED_INVERTED,42,0.7935384615384615
TrainController,HYBRID,19,LAG_NORMALIZED_INVERTED,40,0.9924444444444445
TrainController,HYBRID,17,LAG_NORMALIZED_INVERTED,37,0.8049096989966555
TrainController,HYBRID,16,LAG_NORMALIZED_INVERTED,36,0.47666666666666657
TrainController,HYBRID,15,LAG_NORMALIZED_INVERTED,35,0.7896655518394649
TrainController,HYBRID,14,LAG_NORMALIZED_INVERTED,34,0.782809364548495
TrainController,HYBRID,13,LAG_NORMALIZED_INVERTED,33,0.7990301003344482
TrainController,HYBRID,12,LAG_NORMALIZED_INVERTED,28,0.854
TrainController,HYBRID,20,LAG_NORMALIZED_INVERTED,41,0.8135785953177257
TrainController,HYBRID,1,LAG_NORMALIZED_INVERTED,3,0.7981003344481605
TrainController,HYBRID,89,LAG_NORMALIZED_INVERTED,155,1.0
TrainController,HYBRID,3,LAG_NORMALIZED_INVERTED,5,0.798267558528428
TrainController,DIRECT,109,AP,182,0.5807062184559635
TrainController,DIRECT,108,AP,181,0.017844298124273777
TrainController,DIRECT,107,AP,180,0.19444444444444442
TrainController,DIRECT,106,AP,178,0.5847418520136294
TrainController,DIRECT,131,AP,204,1.0
TrainController,DIRECT,11,AP,27,0.51033340687717
TrainController,DIRECT,132,AP,205,1.0
TrainController,DIRECT,110,AP,183,0.5833333333333333
TrainController,DIRECT,28,AP,50,0.518694043599844
TrainController,DIRECT,22,AP,43,0.23517205682573267
TrainController,DIRECT,133,AP,210,0.04
TrainController,DIRECT,21,AP,42,0.07657664642414214
TrainController,DIRECT,20,AP,41,0.572769911836918
TrainController,DIRECT,86,AP,151,0.6399834668701787
TrainController,DIRECT,18,AP,38,0.489024267897485
TrainController,DIRECT,17,AP,37,0.5906198237848115
TrainController,DIRECT,16,AP,36,0.006185352669057644
TrainController,HYBRID,47,AP,72,0.5777126953407169
TrainController,HYBRID,100,AP,168,0.7842796092796092
TrainController,HYBRID,34,LAG_NORMALIZED_INVERTED,57,0.904
TrainController,HYBRID,126,LAG_NORMALIZED_INVERTED,199,0.7601471571906354
TrainController,HYBRID,125,LAG_NORMALIZED_INVERTED,198,0.7984882943143813
TrainController,HYBRID,124,LAG_NORMALIZED_INVERTED,197,0.7743678929765886
TrainController,HYBRID,123,LAG_NORMALIZED_INVERTED,196,0.8147224080267559
