dataset,technique_type,query_index,ap,auc,lag_normalized_inverted,query_id
Drone,DIRECT,28,0.4010839013760253,0.6779446640316206,0.6358620689655172,53
Drone,DIRECT,18,0.3551220501504475,0.5885375494071147,0.525485893416928,37
Drone,HYBRID,16,0.3486737366851935,0.6806587615283267,0.6338871473354232,29
Drone,HYBRID,23,0.4663574645987619,0.721133069828722,0.6820376175548589,48
Drone,DIRECT,16,0.2639994575836147,0.5306719367588932,0.4136990595611285,29
Drone,TRANSITIVE,1,0.4500366337716692,0.730909090909091,0.6936677115987461,2
Drone,TRANSITIVE,2,0.441672634096919,0.7072990777338604,0.6655799373040753,3
Drone,TRANSITIVE,3,0.4573438255684868,0.7414756258234521,0.7062382445141066,4
Drone,TRANSITIVE,4,0.4968620164619673,0.7303820816864296,0.6930407523510972,6
Drone,TRANSITIVE,5,0.4574346565828384,0.713227931488801,0.6726332288401254,7
Drone,TRANSITIVE,6,0.4468456647890889,0.7133596837944665,0.6727899686520377,8
Drone,TRANSITIVE,0,0.4276195756407713,0.7209222661396575,0.6817868338557994,0
Drone,TRANSITIVE,8,0.4399718856664325,0.7038998682476945,0.6615360501567398,10
Drone,TRANSITIVE,15,0.4805158920235376,0.7389459815546772,0.7032288401253919,28
Drone,HYBRID,25,0.4518554902552467,0.7219235836627143,0.6829780564263322,50
Drone,HYBRID,26,0.2,0.9911894273127754,1.0,51
Drone,HYBRID,27,0.4641746033732808,0.7394993412384717,0.7038871473354232,52
Drone,HYBRID,0,0.3307682991521168,0.6644005270092227,0.6145454545454545,0
Drone,HYBRID,1,0.3471325129596042,0.6690118577075099,0.6200313479623825,2
Drone,HYBRID,2,0.3974932052339064,0.6625032938076417,0.6122884012539185,3
Drone,HYBRID,3,0.4312828373752707,0.7065085638998683,0.664639498432602,4
Drone,HYBRID,5,0.4336626458330598,0.6737022397891963,0.6256112852664577,7
Drone,HYBRID,6,0.4304272784094352,0.6852437417654809,0.6393416927899687,8
Drone,HYBRID,28,0.4804576073815736,0.7636100131752306,0.7325705329153606,53
Drone,HYBRID,8,0.4242713355821352,0.6778392621870883,0.6305329153605016,10
Drone,HYBRID,9,0.3695684008907467,0.6561001317523056,0.6046708463949844,15
Drone,HYBRID,10,0.4651773333058589,0.6916205533596838,0.6469278996865204,16
Drone,HYBRID,11,0.45803223892579,0.721923583662714,0.6829780564263322,23
Drone,DIRECT,19,0.337422264194984,0.5917786561264822,0.5094984326018809,39
Drone,DIRECT,20,0.3627684233747128,0.6126218708827404,0.5574921630094044,41
Drone,DIRECT,21,0.3366424912532501,0.5820553359683794,0.5174921630094044,44
Drone,DIRECT,23,0.3981077991209807,0.6502371541501977,0.5976175548589342,48
Drone,TRANSITIVE,9,0.4378781108603339,0.7122002635046113,0.67141065830721,15
Drone,TRANSITIVE,19,0.4266244985713983,0.702608695652174,0.66,39
Drone,TRANSITIVE,20,0.4463942130713861,0.7163899868247694,0.6763949843260189,41
Drone,TRANSITIVE,22,0.4654572216373471,0.728695652173913,0.6910344827586207,45
Drone,TRANSITIVE,29,0.4450674868924025,0.7331225296442689,0.6963009404388715,54
Drone,TRANSITIVE,24,0.5091339853489395,0.7422134387351779,0.707115987460815,49
Drone,TRANSITIVE,25,0.5118003463559859,0.7407114624505929,0.7053291536050157,50
Drone,TRANSITIVE,26,0.1,0.9801762114537445,0.9827586206896551,51
Drone,TRANSITIVE,27,0.4645577507909308,0.7374967061923583,0.7015047021943573,52
Drone,TRANSITIVE,28,0.5194783977969644,0.7703293807641635,0.740564263322884,53
Drone,TRANSITIVE,16,0.4876510377700311,0.7376811594202899,0.7017241379310345,29
Drone,TRANSITIVE,18,0.4386168103426777,0.7095652173913044,0.6682758620689655,37
Drone,TRANSITIVE,23,0.5274389066369873,0.7429512516469038,0.7079937304075234,48
Drone,HYBRID,12,0.4029238093290352,0.6879314888010539,0.6425391849529781,24
Drone,HYBRID,29,0.4475543572290156,0.7376284584980236,0.7016614420062696,54
Drone,TRANSITIVE,13,0.0033898305084745,0.3524229074889867,0.0,26
Drone,HYBRID,24,0.4477627731182151,0.7189723320158101,0.6794670846394985,49
Drone,HYBRID,21,0.4541274287714144,0.719235836627141,0.6797805642633229,44
Drone,HYBRID,20,0.4137940192854128,0.6881422924901186,0.6427899686520376,41
Drone,HYBRID,19,0.3958299667808906,0.6699868247694334,0.6211912225705329,39
Drone,HYBRID,18,0.4056902690550054,0.6786034255599472,0.6314420062695925,37
Drone,HYBRID,17,0.3894065961640902,0.9028889662373826,0.8657824933687003,35
Drone,DIRECT,0,0.2456774679883114,0.5225164690382083,0.44501567398119124,0
Drone,DIRECT,29,0.3410207744599363,0.6244795783926219,0.5224764890282132,54
Drone,DIRECT,27,0.4104362012458784,0.6552832674571806,0.5755799373040753,52
Drone,DIRECT,26,0.2,0.9911894273127752,1.0,51
Drone,DIRECT,25,0.3835564004361596,0.6473386034255599,0.5961442006269593,50
Drone,DIRECT,24,0.3505558620740291,0.613596837944664,0.5599059561128527,49
Drone,TRANSITIVE,14,0.4648857510567799,0.724137022397892,0.6856112852664576,27
Drone,HYBRID,7,0.4143883177344072,0.6793412384716733,0.632319749216301,9
Drone,HYBRID,4,0.4509123627363511,0.7084584980237154,0.6669592476489028,6
Drone,DIRECT,17,0.4895583468623147,0.9298642533936652,0.906896551724138,35
Drone,TRANSITIVE,12,0.4276674570763206,0.706429512516469,0.6645454545454546,24
Drone,DIRECT,22,0.3903024672777777,0.6120421607378128,0.5515987460815047,45
Drone,DIRECT,12,0.3493468385463576,0.6029117259552041,0.5300626959247648,24
Drone,DIRECT,13,0.005524861878453,0.6035242290748899,0.3931034482758621,26
Drone,DIRECT,14,0.3588998375125186,0.6505401844532279,0.562884012539185,27
Drone,DIRECT,1,0.2512809224867386,0.5487220026350461,0.47677115987460816,2
Drone,HYBRID,14,0.4260177956388826,0.7172332015810277,0.6773981191222571,27
Drone,DIRECT,3,0.369071586603641,0.6334914361001316,0.5706583072100314,4
Drone,DIRECT,4,0.3544243585905201,0.5877997364953886,0.4847335423197492,6
Drone,DIRECT,6,0.3869449445907472,0.609802371541502,0.5375548589341693,8
Drone,DIRECT,5,0.3985088890259025,0.598129117259552,0.5353918495297805,7
Drone,DIRECT,8,0.3919094999979531,0.6118577075098814,0.5557366771159874,10
Drone,DIRECT,9,0.2876231103287201,0.5688142292490118,0.46394984326018807,15
Drone,DIRECT,10,0.4051342956930387,0.6070355731225296,0.5224764890282132,16
Drone,DIRECT,11,0.3995366580049112,0.6689591567852436,0.6170532915360503,23
Drone,DIRECT,7,0.3741753445855897,0.6144137022397892,0.5549529780564263,9
Drone,HYBRID,13,0.0037037037037037,0.4074889867841409,0.0862068965517242,26
Drone,TRANSITIVE,7,0.4388717466192839,0.7078787878787879,0.666269592476489,9
Drone,TRANSITIVE,10,0.4606557750808435,0.7231357048748353,0.6844200626959248,16
Drone,DIRECT,2,0.3483751232917617,0.5883267457180501,0.5246394984326019,3
Drone,DIRECT,15,0.2813609708913124,0.5658234519104085,0.46783699059561135,28
Drone,HYBRID,22,0.4422605487841291,0.6984453227931489,0.6550470219435737,45
Drone,HYBRID,15,0.3723791501746438,0.7042951251646904,0.6620062695924765,28
Drone,TRANSITIVE,21,0.4931048490512686,0.7360737812911726,0.6998119122257054,44
Drone,TRANSITIVE,17,0.0658179744749944,0.7203271841280892,0.5875331564986738,35
Drone,TRANSITIVE,11,0.4936969649467391,0.7401317523056654,0.7046394984326019,23
TrainController,TRANSITIVE,38,0.0151515151515151,0.8883161512027492,0.87,61
TrainController,TRANSITIVE,34,0.0178571428571428,0.9054982817869416,0.89,57
TrainController,TRANSITIVE,64,0.6603885826628338,0.6663290781478166,0.8104749163879599,112
TrainController,TRANSITIVE,62,0.653696150539457,0.6615949879881295,0.8077859531772575,100
TrainController,TRANSITIVE,61,0.003690036900369,0.5360824742268041,0.45999999999999996,98
TrainController,TRANSITIVE,63,0.2037394403248061,0.8506643558636626,0.8276666666666667,104
TrainController,TRANSITIVE,72,0.7219421886067274,0.7497998021574261,0.8578862876254181,121
TrainController,TRANSITIVE,71,0.7060272806144616,0.7326298930707994,0.8481337792642141,120
TrainController,TRANSITIVE,0,0.0344827586206896,0.9518900343642612,0.944,1
TrainController,TRANSITIVE,70,0.689755335582062,0.7025648876536813,0.831056856187291,119
TrainController,TRANSITIVE,99,0.652567501638408,0.7072400960949644,0.8337123745819398,167
TrainController,TRANSITIVE,83,0.0384057971014492,0.9371772805507744,0.927,148
TrainController,TRANSITIVE,100,0.4592446300273624,0.9705802968960864,0.9664615384615385,168
TrainController,TRANSITIVE,133,0.0666666666666666,0.9759450171821306,0.972,210
