direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,dataset,ap,auc,lag_normalized_inverted
VSM,,,,Drone,0.3409457049808863,0.6130744314433633,0.23725244531162115
VSM,,,,TrainController,0.5029159998120842,0.5447327981026184,0.35803333819078453
VSM,,,,EasyClinic,0.705069831117277,0.7582632930111349,0.7785534916026997
VSM,,,,EBT,0.7546266612697343,0.6854816678511115,0.7287255211052133
VSM,,,,WARC,0.6741781544633663,0.8354971458914111,0.623614749143663
LSI,,,,Drone,0.3338011651669731,0.5935320583559054,0.0
LSI,,,,TrainController,0.5034709303270136,0.5364753490440191,0.263610888207491
LSI,,,,EasyClinic,0.6863433289728993,0.7496412884144559,0.7191579547275997
LSI,,,,EBT,0.7550221736937751,0.6546751182534406,0.5765519451321304
LSI,,,,WARC,0.6339562837276822,0.8000000000000002,0.3272214386459802
,VSM,INDEPENDENT,SUM,Drone,0.3836207642162316,0.6770235934664246,0.9402845649605789
,VSM,INDEPENDENT,SUM,TrainController,0.5137598081492438,0.6616436058865024,1.0
,VSM,INDEPENDENT,SUM,EasyClinic,0.6423732268488483,0.7305384422480811,0.5875616662807885
,VSM,INDEPENDENT,SUM,EBT,0.8526471137412744,0.7329344428906566,1.0
,VSM,INDEPENDENT,SUM,WARC,0.620755176497896,0.8854108588875613,0.9754180938948216
,VSM,INDEPENDENT,PCA,Drone,0.3622137152402616,0.6515445953299468,0.6533415250281212
,VSM,INDEPENDENT,PCA,TrainController,0.447645058202776,0.5972785069813109,0.6213276496062567
,VSM,INDEPENDENT,PCA,EasyClinic,0.4753452318497563,0.6666942432930628,0.14774973730609609
,VSM,INDEPENDENT,PCA,EBT,0.834811846284134,0.6911607941129272,0.7739698061328384
,VSM,INDEPENDENT,PCA,WARC,0.5627754987239055,0.8524093986459578,0.7249647390691116
,VSM,INDEPENDENT,MAX,Drone,0.3759154461752884,0.6713395319002757,0.8762717426415545
,VSM,INDEPENDENT,MAX,TrainController,0.5355889706188977,0.6145273873463363,0.7228061555137155
,VSM,INDEPENDENT,MAX,EasyClinic,0.7814249804343972,0.7904090216933255,1.0
,VSM,INDEPENDENT,MAX,EBT,0.8102433538406537,0.7070199368805544,0.8597809626685549
,VSM,INDEPENDENT,MAX,WARC,0.6166420290651156,0.8886499402628435,1.0
,VSM,GLOBAL,SUM,Drone,0.3836207642162316,0.6770235934664246,0.9402845649605789
,VSM,GLOBAL,SUM,TrainController,0.5137598081492438,0.6616436058865024,1.0
,VSM,GLOBAL,SUM,EasyClinic,0.6321589124469604,0.7256935736981032,0.5541861831911521
,VSM,GLOBAL,SUM,EBT,0.8526471137412744,0.7329344428906566,1.0
,VSM,GLOBAL,SUM,WARC,0.620755176497896,0.8854108588875613,0.9754180938948216
,VSM,GLOBAL,PCA,Drone,0.3622137152402616,0.6515445953299468,0.6533415250281212
,VSM,GLOBAL,PCA,TrainController,0.447645058202776,0.5972785069813109,0.6213276496062567
,VSM,GLOBAL,PCA,EasyClinic,0.4637162423281161,0.662079467219578,0.11595932251687446
,VSM,GLOBAL,PCA,EBT,0.834811846284134,0.6911607941129272,0.7739698061328384
,VSM,GLOBAL,PCA,WARC,0.5627754987239055,0.8524093986459578,0.7249647390691116
,VSM,GLOBAL,MAX,Drone,0.3759154461752884,0.6713395319002757,0.8762717426415545
,VSM,GLOBAL,MAX,TrainController,0.5355889706188977,0.6145273873463363,0.7228061555137155
,VSM,GLOBAL,MAX,EasyClinic,0.7796105153716636,0.7898505950088028,0.9961530926641615
,VSM,GLOBAL,MAX,EBT,0.8102433538406537,0.7070199368805544,0.8597809626685549
,VSM,GLOBAL,MAX,WARC,0.6166420290651156,0.8886499402628435,1.0
,LSI,INDEPENDENT,SUM,Drone,0.4198152619777687,0.6698585790416085,0.85959317587773
,LSI,INDEPENDENT,SUM,TrainController,0.4835843999373582,0.6501016101538872,0.932096202341866
,LSI,INDEPENDENT,SUM,EasyClinic,0.5782095597900465,0.6996905385456605,0.3750556554880762
,LSI,INDEPENDENT,SUM,EBT,0.8613481412507494,0.7044972604937989,0.8461311846518813
,LSI,INDEPENDENT,SUM,WARC,0.3869215979804333,0.758051241205363,0.008865605480555816
,LSI,INDEPENDENT,PCA,Drone,0.3569388954994989,0.6082656476575253,0.16593043552986142
,LSI,INDEPENDENT,PCA,TrainController,0.342067906622864,0.5011872823912448,0.056004353493080306
,LSI,INDEPENDENT,PCA,EasyClinic,0.4333701781443618,0.6458437284288303,0.0041140536786052895
,LSI,INDEPENDENT,PCA,EBT,0.8280179406932251,0.5818174350274714,0.1823312642454371
,LSI,INDEPENDENT,PCA,WARC,0.5851337700912771,0.7870967741935483,0.22929679629256494
,LSI,INDEPENDENT,MAX,Drone,0.3619298925011365,0.6621214511760253,0.7724572465257906
,LSI,INDEPENDENT,MAX,TrainController,0.4968349779012933,0.5747844005804096,0.488990462439296
,LSI,INDEPENDENT,MAX,EasyClinic,0.7668274435346079,0.7783614830364967,0.9170065361805195
,LSI,INDEPENDENT,MAX,EBT,0.7906781197816662,0.6859769377134866,0.7459208302538207
,LSI,INDEPENDENT,MAX,WARC,0.6254036439592046,0.8671976636134342,0.8371952448116058
,LSI,GLOBAL,SUM,Drone,0.4242163966497266,0.6823258306049304,1.0
,LSI,GLOBAL,SUM,TrainController,0.4797621388384926,0.6550553164945758,0.9612398167399738
,LSI,GLOBAL,SUM,EasyClinic,0.5751299723725413,0.6989201165457173,0.3697483481451138
,LSI,GLOBAL,SUM,EBT,0.8613481412507494,0.6748507981629643,0.6857191587891442
,LSI,GLOBAL,SUM,WARC,0.3869215979804333,0.7568830479224744,0.0
,LSI,GLOBAL,PCA,Drone,0.3549025432266087,0.6152188802451459,0.24423809620813408
,LSI,GLOBAL,PCA,TrainController,0.3400488042432051,0.4916679030440196,0.0
,LSI,GLOBAL,PCA,EasyClinic,0.432478502486072,0.6452465221134382,-2.220446049250313e-16
,LSI,GLOBAL,PCA,EBT,0.8312736835390374,0.5481199804375568,0.0
,LSI,GLOBAL,PCA,WARC,0.5853116360201511,0.7851320854905084,0.21438645980253868
,LSI,GLOBAL,MAX,Drone,0.364548793472745,0.6628415063824872,0.7805665450522956
