dataset,metric,relative_gain
WARC,ap,0.8625890198808239
WARC,auc,0.12907197947235682
WARC,lag,0.7308477621692258
Drone,ap,4.37529640516734
Drone,auc,0.6311233167002195
Drone,lag,1.0
TrainController,ap,3.1412233975815402
TrainController,auc,0.8640185416779985
TrainController,lag,0.9999999903833712
EasyClinic,ap,0.5700407091487495
EasyClinic,auc,0.31880312447791825
EasyClinic,lag,1.0
EBT,ap,0.41066159257729157
EBT,auc,0.42672716627634677
EBT,lag,1.0
