dataset,direct_rank,n_words,rank_gain,transitive_rank
WARC,0.898876404494382,0.0,0.38202247191011235,0.5168539325842697
WARC,0.5056179775280899,0.0,-0.449438202247191,0.9550561797752809
WARC,0.4606741573033708,0.0,0.4044943820224719,0.056179775280898875
WARC,0.3595505617977528,0.0,0.3258426966292135,0.033707865168539325
WARC,0.550561797752809,0.0,0.2696629213483146,0.2808988764044944
WARC,0.7528089887640449,0.0,0.11235955056179775,0.6404494382022472
WARC,0.651685393258427,0.0,0.14606741573033707,0.5056179775280899
WARC,0.6179775280898876,0.0,-0.011235955056179775,0.6292134831460674
WARC,0.8314606741573034,0.0,-0.011235955056179775,0.8426966292134831
WARC,0.9550561797752809,0.0,0.43820224719101125,0.5168539325842697
WARC,0.898876404494382,0.0,0.5955056179775281,0.30337078651685395
WARC,0.8764044943820225,0.0,0.11235955056179775,0.7640449438202247
WARC,0.19101123595505617,0.0,0.0,0.19101123595505617
WARC,0.12359550561797752,0.0,-0.12359550561797752,0.24719101123595505
WARC,0.2808988764044944,1.0,0.1797752808988764,0.10112359550561797
WARC,0.02247191011235955,1.0,-0.07865168539325842,0.10112359550561797
WARC,0.0,1.0,-0.02247191011235955,0.02247191011235955
WARC,0.011235955056179775,1.0,0.011235955056179775,0.0
WARC,0.39325842696629215,1.0,-0.0898876404494382,0.48314606741573035
WARC,0.19101123595505617,1.0,-0.38202247191011235,0.5730337078651685
WARC,0.033707865168539325,1.0,-0.5617977528089888,0.5955056179775281
WARC,0.6067415730337079,1.0,0.25842696629213485,0.34831460674157305
WARC,0.20224719101123595,1.0,-0.20224719101123595,0.4044943820224719
WARC,0.033707865168539325,1.0,-0.6629213483146067,0.6966292134831461
WARC,0.0,1.0,-0.25842696629213485,0.25842696629213485
WARC,0.0898876404494382,1.0,-0.33707865168539325,0.42696629213483145
WARC,0.06741573033707865,2.0,-0.29213483146067415,0.3595505617977528
WARC,0.011235955056179775,2.0,-0.5617977528089888,0.5730337078651685
WARC,0.033707865168539325,2.0,0.02247191011235955,0.011235955056179775
WARC,0.5168539325842697,2.0,-0.02247191011235955,0.5393258426966292
WARC,0.3707865168539326,2.0,-0.033707865168539325,0.4044943820224719
WARC,0.6404494382022472,2.0,-0.011235955056179775,0.651685393258427
WARC,0.5056179775280899,2.0,-0.0449438202247191,0.550561797752809
WARC,0.6067415730337079,2.0,0.011235955056179775,0.5955056179775281
WARC,0.4157303370786517,2.0,-0.23595505617977527,0.651685393258427
WARC,0.1797752808988764,2.0,-0.48314606741573035,0.6629213483146067
WARC,0.011235955056179775,2.0,-0.7752808988764045,0.7865168539325843
WARC,0.02247191011235955,2.0,-0.7865168539325843,0.8089887640449438
WARC,0.0449438202247191,2.0,-0.797752808988764,0.8426966292134831
WARC,0.0,2.0,-0.2696629213483146,0.2696629213483146
WARC,0.06741573033707865,2.0,-0.0449438202247191,0.11235955056179775
WARC,0.02247191011235955,2.0,-0.011235955056179775,0.033707865168539325
WARC,0.10112359550561797,2.0,-0.14606741573033707,0.24719101123595505
WARC,0.1348314606741573,2.0,0.02247191011235955,0.11235955056179775
WARC,0.06741573033707865,2.0,0.02247191011235955,0.0449438202247191
WARC,0.0449438202247191,2.0,0.033707865168539325,0.011235955056179775
WARC,0.056179775280898875,2.0,0.033707865168539325,0.02247191011235955
WARC,0.033707865168539325,2.0,-0.06741573033707865,0.10112359550561797
WARC,0.02247191011235955,2.0,-0.0898876404494382,0.11235955056179775
WARC,0.0449438202247191,2.0,-0.011235955056179775,0.056179775280898875
WARC,0.10112359550561797,3.0,0.033707865168539325,0.06741573033707865
WARC,0.19101123595505617,3.0,0.02247191011235955,0.16853932584269662
WARC,0.16853932584269662,3.0,-0.10112359550561797,0.2696629213483146
WARC,0.1797752808988764,3.0,0.0,0.1797752808988764
WARC,0.23595505617977527,3.0,0.0,0.23595505617977527
WARC,0.0,3.0,-0.1797752808988764,0.1797752808988764
WARC,0.19101123595505617,3.0,0.0898876404494382,0.10112359550561797
WARC,0.07865168539325842,3.0,-0.12359550561797752,0.20224719101123595
WARC,0.0,3.0,-0.9662921348314607,0.9662921348314607
WARC,0.056179775280898875,3.0,-0.6067415730337079,0.6629213483146067
WARC,0.02247191011235955,3.0,0.0,0.02247191011235955
WARC,0.033707865168539325,3.0,0.02247191011235955,0.011235955056179775
WARC,0.0,3.0,-0.033707865168539325,0.033707865168539325
WARC,0.02247191011235955,3.0,0.02247191011235955,0.0
WARC,0.07865168539325842,3.0,-0.0449438202247191,0.12359550561797752
WARC,0.0898876404494382,3.0,0.0449438202247191,0.0449438202247191
WARC,0.056179775280898875,3.0,-0.07865168539325842,0.1348314606741573
WARC,0.0,4.0,0.0,0.0
WARC,0.10112359550561797,4.0,0.0898876404494382,0.011235955056179775
WARC,0.0898876404494382,4.0,-0.033707865168539325,0.12359550561797752
WARC,0.07865168539325842,4.0,-0.07865168539325842,0.15730337078651685
WARC,0.056179775280898875,4.0,-0.3146067415730337,0.3707865168539326
WARC,0.056179775280898875,4.0,-0.2247191011235955,0.2808988764044944
WARC,0.20224719101123595,4.0,-0.43820224719101125,0.6404494382022472
WARC,0.0,4.0,-0.011235955056179775,0.011235955056179775
WARC,0.02247191011235955,4.0,0.02247191011235955,0.0
WARC,0.011235955056179775,4.0,-0.0449438202247191,0.056179775280898875
WARC,0.0449438202247191,4.0,0.0,0.0449438202247191
WARC,0.0,4.0,-0.8202247191011236,0.8202247191011236
WARC,0.0,4.0,-0.033707865168539325,0.033707865168539325
WARC,0.06741573033707865,5.0,0.011235955056179775,0.056179775280898875
WARC,0.0,5.0,-0.898876404494382,0.898876404494382
WARC,0.011235955056179775,5.0,-0.011235955056179775,0.02247191011235955
WARC,0.0,5.0,0.0,0.0
WARC,0.011235955056179775,5.0,0.011235955056179775,0.0
WARC,0.011235955056179775,5.0,0.0,0.011235955056179775
WARC,0.0,6.0,-0.7191011235955056,0.7191011235955056
WARC,0.0,7.0,-0.033707865168539325,0.033707865168539325
WARC,0.0,8.0,-0.07865168539325842,0.07865168539325842
EBT,0.64,0.0,-0.34,0.98
EBT,0.54,0.0,0.28,0.26
EBT,0.76,0.0,0.46,0.3
EBT,0.78,0.0,-0.1,0.88
EBT,0.82,0.0,0.16,0.66
EBT,0.98,0.0,0.3,0.68
EBT,0.88,0.0,0.12,0.76
EBT,0.92,0.0,0.72,0.2
EBT,0.94,0.0,0.82,0.12
EBT,0.86,0.0,0.72,0.14
EBT,0.74,0.0,-0.2,0.94
EBT,0.56,0.0,0.12,0.44
EBT,0.68,0.0,0.44,0.24
EBT,0.68,0.0,-0.28,0.96
EBT,0.58,0.0,0.32,0.26
EBT,0.86,0.0,-0.02,0.88
EBT,0.9,0.0,0.14,0.76
EBT,0.98,0.0,0.38,0.6
EBT,0.94,0.0,0.14,0.8
EBT,0.78,0.0,0.6,0.18
EBT,0.84,0.0,0.72,0.12
EBT,0.74,0.0,0.6,0.14
EBT,0.76,0.0,-0.14,0.9
EBT,0.72,0.0,0.22,0.5
EBT,0.54,0.0,0.3,0.24
EBT,0.6,0.0,-0.36,0.96
EBT,0.5,0.0,0.2,0.3
EBT,0.66,0.0,0.26,0.4
EBT,0.74,0.0,-0.12,0.86
EBT,0.78,0.0,0.2,0.58
EBT,0.98,0.0,0.84,0.14
EBT,0.84,0.0,0.34,0.5
EBT,0.88,0.0,0.64,0.24
EBT,0.9,0.0,0.36,0.54
EBT,0.96,0.0,0.52,0.44
EBT,0.72,0.0,0.34,0.38
EBT,0.48,0.0,0.3,0.18
EBT,0.86,0.0,0.64,0.22
EBT,0.76,0.0,-0.08,0.84
EBT,0.7,0.0,0.38,0.32
EBT,0.64,0.0,0.36,0.28
EBT,0.78,0.0,-0.14,0.92
EBT,0.82,0.0,0.2,0.62
EBT,0.98,0.0,0.22,0.76
EBT,0.98,0.0,0.54,0.44
EBT,0.82,0.0,0.28,0.54
EBT,0.84,0.0,0.18,0.66
EBT,0.92,0.0,0.44,0.48
EBT,0.74,0.0,-0.06,0.8
EBT,0.64,0.0,-0.34,0.98
