Dataset,Metric,RelativeGain,Correlation,PValue
Warc,AP,-0.025,0.693,<0.001
Warc,AUC,0.041,0.412,<0.001
Warc,LAG,0.229,0.412,<0.001
Drone,AP,0.251,0.408,<0.001
Drone,AUC,0.115,0.467,<0.001
Drone,LAG,0.179,0.467,<0.001
Traincontroller,AP,0.15,0.597,<0.001
Traincontroller,AUC,0.204,0.673,<0.001
Traincontroller,LAG,0.231,0.673,<0.001
Easyclinic,AP,0.087,0.811,<0.001
Easyclinic,AUC,0.05,0.555,<0.001
Easyclinic,LAG,0.158,0.555,<0.001
Ebt,AP,0.022,0.604,<0.001
Ebt,AUC,0.024,0.403,<0.001
Ebt,LAG,0.053,0.403,<0.001
