query_performance,type,value
top_5,not traced,0.5705642979146347
top_5,not traced,0.5980865359690017
top_5,not traced,0.5194898647681253
top_5,not traced,0.40177099563990515
top_5,not traced,0.5688089486088238
top_5,not traced,0.5459933790823092
top_5,not traced,0.6119726875194023
top_5,not traced,0.6087812832159873
top_5,not traced,0.6157862715830995
top_5,not traced,0.5768124549713411
top_5,not traced,0.5484717939340723
top_5,not traced,0.5871895564840923
top_5,not traced,0.625577442044055
top_5,not traced,0.24327243395138315
top_5,not traced,0.31299771317624053
top_5,not traced,0.42556134361761044
top_5,not traced,0.31846891088143975
top_5,not traced,0.2814693324404198
top_5,not traced,0.2814693324404198
top_5,not traced,0.3071724892098513
top_5,not traced,0.46924937559145186
top_5,not traced,0.22648794026081476
top_5,not traced,0.3755532307899263
top_5,not traced,0.39382457369249796
top_5,not traced,0.37885786262514637
top_5,not traced,0.48353699181299326
top_5,not traced,0.519116587442195
top_5,not traced,0.3028381776283191
top_5,not traced,0.318752754371837
top_5,not traced,0.4225943000595139
top_5,not traced,0.2982410906898917
top_5,not traced,0.31102684587144225
top_5,not traced,0.3850750955838741
top_5,not traced,0.575189265598639
top_5,not traced,0.355406561308862
top_5,not traced,0.8821349568347939
top_5,not traced,0.6871392314873221
top_5,not traced,0.29831193980230397
top_5,not traced,0.34518825858343716
top_5,not traced,0.4352761252513121
top_5,not traced,0.7080175268030404
top_5,not traced,0.24044202095960437
top_5,not traced,0.37135048082417915
top_5,not traced,0.2203752159964909
top_5,not traced,0.2222343176089085
top_5,not traced,0.26341117577793205
top_5,not traced,0.1983537773822168
top_5,not traced,0.49172582596277836
top_5,not traced,0.3423332849179527
top_5,not traced,1.0
top_5,not traced,1.0
top_5,not traced,0.6245973085819828
top_5,not traced,0.40483324988298797
top_5,not traced,0.4143402275465102
top_5,not traced,0.36531943368591957
top_5,not traced,0.36692565935913546
top_5,not traced,0.4538102692226167
top_5,not traced,0.28405105560235666
top_5,not traced,0.47197695241086945
top_5,not traced,0.6225694843985083
top_5,not traced,0.576752593180234
top_5,not traced,0.5795258059680519
top_5,not traced,0.4658439890054941
top_5,not traced,0.5439088524627425
top_5,not traced,0.6464931057695932
top_5,not traced,0.5378552471772022
top_5,not traced,0.3585086192551243
top_5,not traced,0.5207530075722553
top_5,not traced,0.5871377924200513
top_5,not traced,0.2370172938187809
top_5,not traced,0.4929766151544781
top_5,not traced,0.6054653383176494
top_5,not traced,0.5500366791704598
top_5,not traced,0.43416337882300315
top_5,not traced,0.5115151721948681
top_5,not traced,0.5717806277532564
top_5,not traced,0.5833072581267564
top_5,not traced,0.2692057042899132
top_5,not traced,0.38585492185647496
top_5,not traced,0.647856229531876
top_5,not traced,0.6189034709416437
top_5,not traced,0.22891452184115443
top_5,not traced,0.5564306810428024
top_5,not traced,0.274005035771822
top_5,not traced,0.21621969648385178
top_5,not traced,0.5457103380792037
top_5,not traced,0.49839609991091516
top_5,not traced,0.1148832565483698
top_5,not traced,0.10563503494197024
top_5,not traced,0.17051471184225392
top_5,not traced,0.13140668015078125
top_5,not traced,0.26096964854945937
top_5,not traced,0.17760896972112056
top_5,not traced,0.3614022631639181
top_5,not traced,0.19646076876910373
top_5,not traced,0.13673133372578655
top_5,not traced,0.18698051479355898
top_5,not traced,0.205285303477674
top_5,not traced,0.2616773223557033
top_5,not traced,0.2259505887123362
top_5,not traced,0.116398482768309
top_5,not traced,0.3064638650540893
top_5,not traced,0.19238208217429525
top_5,not traced,0.18081947800683482
top_5,not traced,0.33603828087135645
top_5,not traced,0.1641509144241221
top_5,not traced,0.20689317265279142
top_5,not traced,0.19778584935979673
top_5,not traced,0.35475816672608673
top_5,not traced,0.19006545271094064
top_5,not traced,0.2714377667531823
top_5,not traced,0.11165489574999346
top_5,not traced,0.1993126438579575
top_5,not traced,0.37352558308965095
top_5,not traced,0.5052037830951271
top_5,not traced,0.6656901420901694
top_5,not traced,0.5708958075191382
top_5,not traced,0.3911711598668235
top_5,not traced,0.5848456855667836
top_5,not traced,0.5864303283935614
top_5,not traced,0.5117817821316983
top_5,not traced,0.49467538696005964
top_5,not traced,0.43369847012893137
top_5,not traced,0.531737926656475
top_5,not traced,0.5524284623873994
top_5,not traced,0.5569775435957276
top_5,not traced,0.37137553213684876
top_5,not traced,0.35957748984537663
top_5,not traced,0.39120498742576487
top_5,not traced,0.4022946112077972
top_5,not traced,0.5464839757488127
top_5,not traced,0.5469029665727791
top_5,not traced,0.6095492595140025
top_5,not traced,0.4866281038610244
top_5,not traced,0.5696117979300206
top_5,not traced,0.4614265712053377
top_5,not traced,0.3656864228463397
top_5,not traced,0.40035600043741026
top_5,not traced,0.5697953760168369
top_5,not traced,0.5463991074449055
top_5,not traced,0.43994095039068754
top_5,not traced,0.5113236412308855
top_5,not traced,0.5264322713102114
top_5,not traced,0.5244869083325356
top_5,not traced,0.5989865901766044
top_5,not traced,0.1870818799119969
top_5,not traced,0.5258058838193272
top_5,not traced,0.49255213308598866
top_5,not traced,0.3606918822792422
top_5,not traced,0.42063998377014006
top_5,not traced,0.4290790112902384
top_5,not traced,0.5091310125826017
top_5,not traced,0.5781464499376932
top_5,not traced,0.33155212102054754
top_5,not traced,0.21298147042705468
top_5,not traced,0.35257554798263563
top_5,not traced,0.2724045935801256
top_5,not traced,0.2419162111221272
top_5,not traced,0.24084586521306617
top_5,not traced,0.6387146216108088
top_5,not traced,0.509131978994706
top_5,not traced,0.6883483589872632
top_5,not traced,0.27488945143008603
top_5,not traced,0.40371604947839007
top_5,not traced,0.4522893263828392
top_5,not traced,0.5807739857434387
top_5,not traced,0.6208165651256242
top_5,not traced,0.30008007998832903
top_5,not traced,0.2086966362707241
top_5,not traced,0.317919539539646
top_5,not traced,0.2474152666225377
top_5,not traced,0.37046574577469266
top_5,not traced,0.5199577683434055
top_5,not traced,0.5098293941791283
top_5,not traced,0.3934751509620445
top_5,not traced,0.43424809630712324
top_5,not traced,0.4852016590951805
top_5,not traced,0.4353805321968076
top_5,not traced,0.4353805321968076
top_5,not traced,0.5646358994632287
top_5,not traced,0.5646358994632287
top_5,not traced,0.4894503776829366
top_5,not traced,0.2703041237181352
top_5,not traced,0.5153766328496007
top_5,not traced,0.38888605087840084
top_5,not traced,0.47804771172612914
top_5,not traced,0.5791602552572163
top_5,not traced,0.5016296933684957
top_5,not traced,0.45730241961054285
top_5,not traced,0.4163307626362427
top_5,not traced,0.4479503117982019
top_5,not traced,0.42008287454765136
top_5,not traced,0.4026013805179432
top_5,not traced,0.44806886764944026
top_5,not traced,0.2496573779987542
top_5,not traced,0.4497100694809365
top_5,not traced,0.7290249012828802
top_5,not traced,0.6081384273279447
top_5,not traced,0.5435012561150666
top_5,not traced,0.4858575146612032
top_5,traced,2.220446049250313e-16
top_5,traced,0.0
top_5,traced,0.0
top_5,not traced,0.33021644582046894
top_5,not traced,0.4382378437284208
top_5,not traced,0.4089787862211738
top_5,not traced,0.48069788426057325
top_5,not traced,0.43346329290709484
top_5,not traced,0.17253502211944535
top_5,not traced,0.24453595400138678
top_5,not traced,0.27196482835685476
top_5,not traced,0.21270456557852438
top_5,not traced,0.13841999510914216
top_5,not traced,0.17603811197501446
top_5,not traced,0.2907545681000028
top_5,not traced,0.2940908447335828
top_5,not traced,0.15696731146651915
top_5,not traced,0.28475470933874897
top_5,not traced,0.10103598918876508
top_5,not traced,0.3319379224433054
top_5,not traced,0.11159546472942186
top_5,not traced,0.31435895178496887
top_5,not traced,0.290673613307253
top_5,not traced,0.2040003966491129
top_5,not traced,0.2375181576866523
top_5,not traced,0.1915515074229699
top_5,not traced,0.17093766972549748
top_5,not traced,0.11799862319370895
top_5,not traced,0.21405098944687057
top_5,not traced,0.30364628420673195
top_5,not traced,0.4648448676708102
top_5,not traced,0.47451106940409926
top_5,not traced,0.44978275092422293
top_5,not traced,0.5064116149508123
top_5,not traced,0.3305498171784381
top_5,not traced,0.4922346079308946
top_5,not traced,0.299564914689589
top_5,not traced,0.4632262294471638
top_5,not traced,0.3779729934334659
top_5,not traced,0.44753041483094935
top_5,not traced,0.3492733311617442
top_5,not traced,0.3559464416435965
top_5,not traced,0.4143075091462519
top_5,not traced,0.4002623508681801
top_5,not traced,0.3952903508011595
top_5,not traced,0.48678654300537116
top_5,not traced,0.4579521124257894
top_5,not traced,0.3839671872852827
top_5,not traced,0.3638123011349731
top_5,not traced,0.3089925242100615
top_5,not traced,0.49416694742247724
top_5,not traced,0.26633108604856953
top_5,not traced,0.24487767554780887
top_5,not traced,0.29633233435680484
top_5,not traced,0.28723035925474183
top_5,not traced,0.2781538094597528
top_5,not traced,0.32650761060141575
top_5,not traced,0.2836917758553654
top_5,not traced,0.23506947776257459
top_5,not traced,0.566518797978105
top_5,not traced,0.33298008675360746
top_5,not traced,0.24426392942373887
top_5,not traced,0.22650604689037301
top_5,not traced,0.24491276990131522
top_5,not traced,0.5411703318854474
top_5,not traced,0.40806139532447117
top_5,not traced,0.4514769795398256
top_5,not traced,0.40606493668652566
top_5,not traced,0.33944449342444283
top_5,not traced,0.3259462797393259
top_5,not traced,0.34152419920403737
top_5,not traced,0.6456904558398829
top_5,not traced,0.2003297076902677
top_5,not traced,0.41196348401175487
top_5,not traced,0.3143614650096828
top_5,not traced,0.19535716397474368
top_5,not traced,0.25023778648120343
top_5,not traced,0.3906964043486212
top_5,not traced,0.558381703588053
top_5,not traced,0.5173024735485257
top_5,not traced,0.7375117196347796
top_5,not traced,0.42401814435653484
top_5,not traced,0.3968894108549282
top_5,not traced,0.532242136134821
top_5,not traced,0.5207105959035263
top_5,not traced,0.3202014875651323
top_5,not traced,0.33060190745943685
top_5,not traced,0.4969078470732845
top_5,not traced,0.3594624103060101
top_5,not traced,0.17887129730593615
top_5,not traced,0.4191053104200453
top_5,not traced,0.7001313853594631
top_5,not traced,0.28948122828672174
top_5,not traced,0.4476629893109279
top_5,not traced,0.4814444106965078
top_5,not traced,0.2943524390884366
top_5,not traced,0.1828952978140414
top_5,not traced,0.22409028482130458
top_5,not traced,0.6442028880825144
top_5,not traced,0.5221997082328446
top_5,not traced,0.584787432017806
top_5,not traced,0.3204327549848194
top_5,not traced,0.3370596460664031
top_5,not traced,0.29503442863568136
top_5,not traced,0.39739583098920217
top_5,not traced,0.2925592811064702
top_5,not traced,0.25763275644689926
top_5,not traced,0.27693746983332274
top_5,not traced,0.3639408691823582
top_5,not traced,0.17699304331558863
top_5,not traced,0.28239606581400145
top_5,not traced,0.5947934779188252
top_5,not traced,0.1252623235748989
top_5,not traced,0.10113523554017918
top_5,not traced,0.1328859478775732
top_5,not traced,0.12769819029795115
top_5,not traced,0.14115394311493953
top_5,not traced,0.13618478705723308
top_5,not traced,0.156345419760734
top_5,not traced,0.25357671645751984
top_5,not traced,0.12295620445902264
top_5,not traced,0.17319758669364393
top_5,not traced,0.30386847635363073
top_5,not traced,0.14646436235376714
top_5,not traced,0.5622270944493185
top_5,not traced,0.32191934882060674
top_5,not traced,0.4171147784225842
top_5,not traced,0.15760615213660953
top_5,not traced,0.14383994270686887
top_5,not traced,0.3664306765500734
top_5,not traced,0.35393464974619815
top_5,not traced,0.3603123706846313
top_5,not traced,0.28047809175983507
top_5,not traced,0.32002367712833246
top_5,not traced,0.31344728498208463
top_5,not traced,0.38931461995631783
top_5,not traced,0.3522368291582391
top_5,not traced,0.29905321285041714
top_5,not traced,0.3468776300055164
top_5,not traced,0.2791526557363758
top_5,not traced,0.37005163115113815
top_5,not traced,0.2514842747872836
top_5,not traced,0.23934593183712086
top_5,not traced,0.21975107643351782
top_5,not traced,0.41738785718768173
top_5,not traced,0.30264188455866137
top_5,not traced,0.40422286287850506
top_5,not traced,0.20339855686167235
top_5,not traced,0.514244769011071
top_5,not traced,0.3572871128298096
top_5,not traced,0.5599494478499564
top_5,not traced,0.4666736265531308
top_5,not traced,0.6658759671382951
top_5,not traced,0.5039587341413545
top_5,not traced,0.541257473419819
top_5,not traced,0.36225533756256
top_5,not traced,0.38977242361447917
top_5,not traced,0.41105422896582894
top_5,not traced,0.41105422896582894
top_5,not traced,0.40470411215027957
top_5,not traced,0.4638134640863754
top_5,not traced,0.41603582041589693
top_5,not traced,0.29168899148945304
top_5,not traced,0.44051956155413846
top_5,not traced,0.44943524966241466
top_5,not traced,0.4431985287968553
top_5,not traced,0.5728128237738235
top_5,not traced,0.6273145441196739
top_5,not traced,0.41537308460681976
top_5,not traced,0.5803811648081595
top_5,not traced,0.20268494083377842
top_5,not traced,0.4718921610297301
top_5,not traced,0.7921234880611235
top_5,not traced,0.35294794402047536
top_5,not traced,0.20651315930590664
top_5,not traced,0.7416784695389766
top_5,not traced,0.17280119589533202
top_5,not traced,0.6973087386870237
top_5,not traced,0.28094513064685855
top_5,not traced,0.6588215638898247
top_5,not traced,0.516767633681404
top_5,not traced,0.4722137537621369
top_5,not traced,0.6812101459487273
top_5,not traced,0.4363291278384795
top_5,not traced,0.4730348828969281
top_5,not traced,0.24900310867042702
top_5,not traced,0.3327103906526233
top_5,not traced,0.24216399998918275
top_5,not traced,0.36557926815149305
top_5,not traced,0.2304551129692452
top_5,not traced,0.2030458672664716
top_5,not traced,0.5367788863319961
top_5,not traced,0.5437671493770553
top_5,not traced,0.5185602955498413
top_5,not traced,0.44331861172475134
top_5,not traced,0.5794049128212416
top_5,not traced,0.6778939286202156
top_5,not traced,0.3659265197510426
top_5,not traced,0.10782234499245127
top_5,not traced,0.3410336375689442
top_5,not traced,0.3929302216364014
top_5,not traced,0.37051058568239004
top_5,not traced,0.3375921138633634
top_5,not traced,0.725591919608135
top_5,not traced,0.4214610842636496
top_5,not traced,0.3106395198707594
top_5,not traced,0.3171505247860851
top_5,not traced,0.35358445106639813
top_5,not traced,0.46656713388769994
top_5,not traced,0.29901523655731627
top_5,not traced,0.41448474340125296
top_5,not traced,0.24924018872699855
top_5,not traced,0.2873936398808768
top_5,not traced,0.38888194686315003
top_5,not traced,0.6370629168096129
top_5,not traced,0.5710701014030364
top_5,not traced,0.39475911956587517
top_5,not traced,0.39475911956587517
top_5,not traced,0.49784608803733627
top_5,not traced,0.49784608803733627
top_5,not traced,0.357045974011508
top_5,not traced,0.4974470054337884
top_5,not traced,0.4041631354067673
top_5,not traced,0.3345519486388478
top_5,not traced,0.5179702595835495
top_5,not traced,0.3982797340818611
top_5,not traced,0.47105417995016996
top_5,not traced,0.4169356066127645
top_5,not traced,0.4291929218523115
top_5,not traced,0.4962360170359502
top_5,not traced,0.25653650224820057
top_5,not traced,0.2991978439385683
top_5,not traced,0.31662110626395357
top_5,not traced,0.34475877726811105
top_5,not traced,0.5481606006656354
top_5,not traced,0.5006685895774591
top_5,not traced,0.3955942486606898
top_5,not traced,0.445138303900936
top_5,not traced,0.3736463566722815
top_5,not traced,0.4605965348294659
top_5,not traced,0.2805332439225794
top_5,not traced,0.2816537366341579
top_5,not traced,0.33203066161209643
top_5,not traced,0.32148447865182117
top_5,not traced,0.3312405232144519
top_5,not traced,0.3447288792618648
top_5,not traced,0.27999694786847956
top_5,not traced,0.3789340655681025
top_5,not traced,0.40512901458759953
top_5,not traced,0.3640183670566709
top_5,not traced,0.35905753070241386
top_5,not traced,0.3422396237421562
top_5,not traced,0.41150084905808443
top_5,not traced,0.4292288310008501
top_5,not traced,0.36002498852030085
top_5,not traced,0.39805409709763595
top_5,not traced,0.371512230182666
top_5,not traced,0.36554353159357755
top_5,not traced,0.4024728661688879
top_5,not traced,0.43292876236582756
top_5,not traced,0.36473838793077723
top_5,not traced,0.4877537222246764
top_5,not traced,0.4263314063176409
top_5,not traced,0.4223449887937994
top_5,not traced,0.5175117267352513
top_5,not traced,0.4314508187050544
top_5,not traced,0.46989592842213423
top_5,not traced,0.5021452598282552
top_5,not traced,0.3961185118500773
top_5,not traced,0.8407894153154505
top_5,not traced,0.6484264933951155
top_5,not traced,0.48011666138649844
top_5,not traced,0.23263048727767188
top_5,not traced,0.28279736908530817
top_5,not traced,0.2983372567941407
top_5,not traced,0.475778621598647
top_5,not traced,0.5384712471795658
top_5,not traced,0.6218335630532684
