,family,type,percentile,original_group
182,transitive,non-links,0.31999999999999995,low
183,transitive,non-links,0.28,low
184,transitive,non-links,0.19999999999999996,low
185,transitive,non-links,0.76,high
186,transitive,non-links,0.36,medium
187,transitive,non-links,0.84,high
188,transitive,non-links,0.64,medium
189,transitive,non-links,0.6799999999999999,medium
190,transitive,non-links,0.72,high
191,transitive,non-links,0.6,high
192,transitive,non-links,0.92,high
193,transitive,non-links,0.96,high
194,transitive,non-links,0.48,medium
195,transitive,non-links,0.4,medium
196,transitive,non-links,0.56,medium
197,transitive,non-links,0.8,high
198,transitive,non-links,0.52,medium
199,transitive,non-links,0.88,high
200,hybrid,links,0.040000000000000036,low
201,hybrid,non-links,0.0,low
202,hybrid,non-links,0.12,low
203,hybrid,non-links,0.07999999999999996,low
204,hybrid,non-links,0.52,medium
205,hybrid,non-links,0.16000000000000003,low
206,hybrid,non-links,0.28,low
207,hybrid,non-links,0.31999999999999995,low
208,hybrid,non-links,0.24,low
209,hybrid,non-links,0.19999999999999996,low
210,hybrid,non-links,0.8,high
211,hybrid,non-links,0.36,medium
212,hybrid,non-links,0.84,high
213,hybrid,non-links,0.64,medium
214,hybrid,non-links,0.6,medium
215,hybrid,non-links,0.76,high
216,hybrid,non-links,0.6799999999999999,high
217,hybrid,non-links,0.88,high
218,hybrid,non-links,0.72,high
219,hybrid,non-links,0.48,medium
220,hybrid,non-links,0.4,medium
221,hybrid,non-links,0.56,medium
222,hybrid,non-links,0.94,high
223,hybrid,non-links,0.43999999999999995,medium
224,hybrid,non-links,0.94,high
225,direct,non-links,0.44680851063829785,medium
226,direct,non-links,0.36170212765957444,medium
227,direct,links,0.0,low
228,direct,links,0.0,low
229,direct,links,0.9148936170212766,high
230,direct,non-links,0.0,low
231,direct,links,0.14893617021276595,low
232,direct,links,0.23404255319148937,low
233,direct,links,0.1063829787234043,low
234,direct,links,0.0,low
235,direct,non-links,0.7021276595744681,high
236,direct,links,0.4042553191489362,medium
237,direct,links,0.574468085106383,medium
238,direct,links,0.8723404255319149,high
239,direct,links,0.7872340425531915,high
240,direct,links,0.6170212765957447,medium
241,direct,links,0.7446808510638299,high
242,direct,links,0.8297872340425532,high
243,direct,links,0.9574468085106383,high
244,direct,links,0.4893617021276596,medium
245,direct,links,0.276595744680851,low
246,direct,links,0.6595744680851063,medium
247,direct,links,0.5319148936170213,medium
248,direct,links,0.19148936170212771,low
249,direct,links,0.3191489361702128,low
250,transitive,non-links,0.10204081632653061,medium
251,transitive,non-links,0.061224489795918324,medium
252,transitive,links,0.0,low
253,transitive,links,0.0,low
254,transitive,links,0.4285714285714286,high
255,transitive,non-links,0.22448979591836737,low
256,transitive,links,0.1428571428571429,low
257,transitive,links,0.30612244897959184,low
258,transitive,links,0.26530612244897955,low
259,transitive,links,0.18367346938775508,low
260,transitive,non-links,0.7551020408163265,high
261,transitive,links,0.34693877551020413,medium
262,transitive,links,0.8775510204081632,medium
263,transitive,links,0.6326530612244898,high
264,transitive,links,0.7142857142857143,high
265,transitive,links,0.6734693877551021,medium
266,transitive,links,0.5918367346938775,high
267,transitive,links,0.9183673469387755,high
268,transitive,links,0.9591836734693877,high
269,transitive,links,0.4693877551020408,medium
270,transitive,links,0.3877551020408163,low
271,transitive,links,0.5510204081632653,medium
272,transitive,links,0.7959183673469388,medium
273,transitive,links,0.5102040816326531,low
274,transitive,links,0.8367346938775511,low
275,hybrid,non-links,0.41666666666666663,medium
276,hybrid,non-links,0.29166666666666663,medium
277,hybrid,links,0.0,low
278,hybrid,links,0.0,low
279,hybrid,links,0.9166666666666666,high
280,hybrid,non-links,0.0,low
281,hybrid,links,0.20833333333333337,low
282,hybrid,links,0.25,low
283,hybrid,links,0.125,low
284,hybrid,links,0.08333333333333337,low
285,hybrid,non-links,0.5833333333333333,high
286,hybrid,links,0.33333333333333337,medium
287,hybrid,links,0.625,medium
288,hybrid,links,0.8333333333333334,high
289,hybrid,links,0.7916666666666666,high
290,hybrid,links,0.75,medium
291,hybrid,links,0.6666666666666667,high
292,hybrid,links,0.875,high
293,hybrid,links,0.9583333333333334,high
294,hybrid,links,0.5,medium
295,hybrid,links,0.375,low
296,hybrid,links,0.7083333333333333,medium
297,hybrid,links,0.5416666666666667,medium
298,hybrid,links,0.16666666666666663,low
299,hybrid,links,0.45833333333333337,low
300,direct,non-links,0.4,medium
301,direct,non-links,0.31999999999999995,low
302,direct,links,0.12,low
303,direct,links,0.0,low
304,direct,links,0.76,high
305,direct,non-links,0.040000000000000036,low
306,direct,links,0.19999999999999996,low
307,direct,links,0.24,low
308,direct,links,0.16000000000000003,low
309,direct,links,0.07999999999999996,low
310,direct,non-links,0.76,high
311,direct,links,0.36,medium
312,direct,links,0.76,high
313,direct,links,0.76,high
314,direct,links,0.76,high
315,direct,links,0.76,high
316,direct,links,0.76,high
317,direct,links,0.76,high
318,direct,links,0.76,high
319,direct,links,0.48,medium
320,direct,links,0.28,low
321,direct,links,0.52,medium
322,direct,links,0.76,high
323,direct,links,0.43999999999999995,medium
324,direct,links,0.76,high
325,transitive,non-links,0.12,medium
326,transitive,non-links,0.07999999999999996,low
327,transitive,links,0.040000000000000036,low
328,transitive,links,0.0,low
329,transitive,links,0.43999999999999995,high
330,transitive,non-links,0.24,low
331,transitive,links,0.16000000000000003,low
332,transitive,links,0.31999999999999995,low
333,transitive,links,0.28,low
334,transitive,links,0.19999999999999996,low
335,transitive,non-links,0.76,high
336,transitive,links,0.36,medium
337,transitive,links,0.84,high
338,transitive,links,0.64,high
339,transitive,links,0.6799999999999999,high
340,transitive,links,0.72,high
341,transitive,links,0.6,high
342,transitive,links,0.88,high
343,transitive,links,0.96,high
344,transitive,links,0.48,medium
345,transitive,links,0.4,low
346,transitive,links,0.56,medium
347,transitive,links,0.8,high
348,transitive,links,0.52,medium
349,transitive,links,0.92,high
350,hybrid,non-links,0.43999999999999995,medium
351,hybrid,non-links,0.28,low
352,hybrid,links,0.040000000000000036,low
353,hybrid,links,0.0,low
354,hybrid,links,0.88,high
355,hybrid,non-links,0.07999999999999996,low
356,hybrid,links,0.19999999999999996,low
357,hybrid,links,0.24,low
358,hybrid,links,0.16000000000000003,low
359,hybrid,links,0.12,low
360,hybrid,non-links,0.6799999999999999,high
361,hybrid,links,0.31999999999999995,medium
362,hybrid,links,0.76,high
