,family,type,percentile,original_group
0,direct,non-links,0.751412429378531,high
1,direct,non-links,0.4689265536723164,medium
2,direct,non-links,0.02824858757062143,low
3,direct,non-links,0.29378531073446323,low
4,direct,non-links,0.480225988700565,medium
5,direct,non-links,0.2542372881355932,low
6,direct,non-links,0.751412429378531,high
7,direct,non-links,0.751412429378531,high
8,direct,non-links,0.4915254237288136,medium
9,direct,non-links,0.16384180790960456,low
10,direct,non-links,0.34463276836158196,medium
11,direct,non-links,0.4124293785310734,medium
12,direct,non-links,0.751412429378531,high
13,direct,non-links,0.751412429378531,high
14,direct,links,0.17514124293785316,low
15,direct,non-links,0.751412429378531,high
16,direct,non-links,0.751412429378531,high
17,direct,links,0.751412429378531,high
18,direct,non-links,0.35593220338983056,medium
19,direct,non-links,0.751412429378531,high
20,direct,links,0.751412429378531,high
21,direct,non-links,0.751412429378531,high
22,direct,non-links,0.12994350282485878,low
23,direct,non-links,0.751412429378531,high
24,direct,non-links,0.15254237288135597,low
25,direct,non-links,0.751412429378531,high
26,direct,non-links,0.751412429378531,high
27,direct,non-links,0.751412429378531,high
28,direct,non-links,0.22033898305084743,low
29,direct,non-links,0.751412429378531,high
30,direct,non-links,0.24293785310734461,low
31,direct,non-links,0.36723163841807904,medium
32,direct,non-links,0.751412429378531,high
33,direct,non-links,0.751412429378531,high
34,direct,non-links,0.751412429378531,high
35,direct,non-links,0.2655367231638418,low
36,direct,non-links,0.751412429378531,high
37,direct,non-links,0.062146892655367214,low
38,direct,non-links,0.05084745762711862,low
39,direct,non-links,0.19774011299435024,low
40,direct,non-links,0.07344632768361581,low
41,direct,non-links,0.4011299435028248,medium
42,direct,non-links,0.37853107344632764,medium
43,direct,non-links,0.016949152542372836,low
44,direct,non-links,0.751412429378531,high
45,direct,non-links,0.039548022598870025,low
46,direct,non-links,0.751412429378531,high
47,direct,non-links,0.751412429378531,high
48,direct,non-links,0.751412429378531,high
49,direct,non-links,0.751412429378531,high
50,direct,non-links,0.751412429378531,high
51,direct,non-links,0.751412429378531,high
52,direct,non-links,0.0,low
53,direct,non-links,0.4350282485875706,medium
54,direct,non-links,0.4576271186440678,medium
55,direct,non-links,0.751412429378531,high
56,direct,non-links,0.751412429378531,high
57,direct,non-links,0.10734463276836159,low
58,direct,non-links,0.096045197740113,low
59,direct,non-links,0.751412429378531,high
60,direct,non-links,0.751412429378531,high
61,direct,non-links,0.751412429378531,high
62,direct,non-links,0.751412429378531,high
63,direct,non-links,0.11864406779661019,low
64,direct,non-links,0.18644067796610164,low
65,direct,non-links,0.5028248587570621,medium
66,direct,non-links,0.14124293785310738,low
67,direct,non-links,0.3107344632768362,low
68,direct,non-links,0.4463276836158192,medium
69,direct,non-links,0.751412429378531,high
70,direct,non-links,0.751412429378531,high
71,direct,non-links,0.751412429378531,high
72,direct,non-links,0.23163841807909602,low
73,direct,non-links,0.751412429378531,high
74,direct,non-links,0.751412429378531,high
75,direct,non-links,0.751412429378531,high
76,direct,non-links,0.0847457627118644,low
77,direct,non-links,0.751412429378531,high
78,direct,non-links,0.751412429378531,high
79,direct,non-links,0.0,low
80,direct,non-links,0.29378531073446323,low
81,direct,non-links,0.751412429378531,high
82,direct,non-links,0.751412429378531,high
83,direct,non-links,0.3220338983050848,low
84,direct,non-links,0.38983050847457623,medium
85,direct,non-links,0.33333333333333337,medium
86,direct,non-links,0.20903954802259883,low
87,direct,non-links,0.2768361581920904,low
88,direct,non-links,0.423728813559322,medium
89,transitive,non-links,0.6853932584269663,high
90,transitive,non-links,0.8539325842696629,medium
91,transitive,non-links,0.3146067415730337,low
92,transitive,non-links,0.151685393258427,low
93,transitive,non-links,0.8876404494382022,medium
94,transitive,non-links,0.3033707865168539,low
95,transitive,non-links,0.9550561797752809,high
96,transitive,non-links,0.2584269662921348,high
97,transitive,non-links,0.8707865168539326,medium
98,transitive,non-links,0.4044943820224719,low
99,transitive,non-links,0.6067415730337078,medium
100,transitive,non-links,0.9438202247191011,medium
101,transitive,non-links,0.9213483146067416,high
102,transitive,non-links,0.1685393258426966,high
103,transitive,links,0.011235955056179803,low
104,transitive,non-links,0.1348314606741573,high
105,transitive,non-links,0.9775280898876404,high
106,transitive,links,0.050561797752809,high
107,transitive,non-links,0.7415730337078652,medium
108,transitive,non-links,0.3707865168539326,high
109,transitive,links,0.696629213483146,high
110,transitive,non-links,0.9325842696629214,high
111,transitive,non-links,0.4157303370786517,low
112,transitive,non-links,0.4831460674157303,high
113,transitive,non-links,0.4269662921348315,low
114,transitive,non-links,0.6292134831460674,high
115,transitive,non-links,0.5842696629213483,high
116,transitive,non-links,0.9101123595505618,high
117,transitive,non-links,0.4382022471910112,low
118,transitive,non-links,0.101123595505618,high
119,transitive,non-links,0.5056179775280899,low
120,transitive,non-links,0.2921348314606742,medium
121,transitive,non-links,0.8426966292134832,high
122,transitive,non-links,0.8202247191011236,high
123,transitive,non-links,0.6404494382022472,high
124,transitive,non-links,0.7640449438202247,low
125,transitive,non-links,0.7752808988764045,high
126,transitive,non-links,0.0786516853932584,low
127,transitive,non-links,0.6629213483146068,low
128,transitive,non-links,0.5955056179775281,low
129,transitive,non-links,0.4606741573033708,low
130,transitive,non-links,0.8314606741573034,medium
131,transitive,non-links,0.5730337078651686,medium
132,transitive,non-links,0.2696629213483146,low
133,transitive,non-links,0.7078651685393258,high
134,transitive,non-links,0.0898876404494382,low
135,transitive,non-links,0.7191011235955056,high
136,transitive,non-links,0.9775280898876404,high
137,transitive,non-links,0.9775280898876404,high
138,transitive,non-links,0.0,high
139,transitive,non-links,0.4943820224719101,high
140,transitive,non-links,0.651685393258427,high
141,transitive,non-links,0.3820224719101124,low
142,transitive,non-links,0.6179775280898876,medium
143,transitive,non-links,0.2808988764044944,medium
144,transitive,non-links,0.202247191011236,high
145,transitive,non-links,0.5617977528089888,high
146,transitive,non-links,0.3595505617977528,low
147,transitive,non-links,0.1797752808988764,low
148,transitive,non-links,0.5393258426966292,high
149,transitive,non-links,0.2134831460674157,high
150,transitive,non-links,0.5280898876404494,high
151,transitive,non-links,0.8089887640449438,high
152,transitive,non-links,0.7303370786516854,low
153,transitive,non-links,0.550561797752809,low
154,transitive,non-links,0.5168539325842696,medium
155,transitive,non-links,0.050561797752809,low
156,transitive,non-links,0.2247191011235955,low
157,transitive,non-links,0.4719101123595506,medium
158,transitive,non-links,0.2471910112359551,high
159,transitive,non-links,0.7865168539325843,high
160,transitive,non-links,0.8707865168539326,high
161,transitive,non-links,0.348314606741573,low
162,transitive,non-links,0.6741573033707865,high
163,transitive,non-links,0.0337078651685393,high
164,transitive,non-links,0.3932584269662921,high
