,family,type,percentile,original_group
0,direct,non-links,0.8358974358974359,high
1,direct,non-links,0.33333333333333337,medium
2,direct,non-links,0.3435897435897436,medium
3,direct,links,0.8358974358974359,high
4,direct,links,0.0461538461538461,low
5,direct,links,0.0,low
6,direct,links,0.0,low
7,direct,links,0.8358974358974359,high
8,direct,links,0.8358974358974359,high
9,direct,links,0.558974358974359,medium
10,direct,links,0.03589743589743588,low
11,direct,links,0.8358974358974359,high
12,direct,links,0.11794871794871797,low
13,direct,non-links,0.3025641025641026,low
14,direct,links,0.8358974358974359,high
15,direct,links,0.2102564102564103,low
16,direct,links,0.8358974358974359,high
17,direct,non-links,0.8358974358974359,high
18,direct,links,0.07692307692307687,low
19,direct,non-links,0.4256410256410257,medium
20,direct,links,0.8358974358974359,high
21,direct,non-links,0.8358974358974359,high
22,direct,links,0.8358974358974359,high
23,direct,links,0.6102564102564103,medium
24,direct,links,0.5076923076923077,medium
25,direct,links,0.8358974358974359,high
26,direct,links,0.6307692307692307,medium
27,direct,non-links,0.3948717948717949,medium
28,direct,links,0.8358974358974359,high
29,direct,links,0.41538461538461535,medium
30,direct,non-links,0.8358974358974359,high
31,direct,non-links,0.6205128205128205,medium
32,direct,non-links,0.4871794871794872,medium
33,direct,non-links,0.36410256410256414,medium
34,direct,non-links,0.8358974358974359,high
35,direct,non-links,0.5794871794871794,medium
36,direct,links,0.8358974358974359,high
37,direct,links,0.49743589743589745,medium
38,direct,links,0.6717948717948719,high
39,direct,links,0.3538461538461538,medium
40,direct,links,0.5282051282051282,medium
41,direct,non-links,0.4461538461538461,medium
42,direct,non-links,0.16923076923076918,low
43,direct,non-links,0.5179487179487179,medium
44,direct,non-links,0.5897435897435898,medium
45,direct,links,0.4769230769230769,medium
46,direct,links,0.8358974358974359,high
47,direct,links,0.02564102564102566,low
48,direct,links,0.17948717948717952,low
49,direct,non-links,0.27179487179487183,low
50,direct,links,0.6,medium
51,direct,links,0.6615384615384615,medium
52,direct,links,0.8358974358974359,high
53,direct,non-links,0.641025641025641,medium
54,direct,links,0.6512820512820513,medium
55,direct,links,0.8358974358974359,high
56,direct,links,0.5487179487179488,medium
57,direct,links,0.3128205128205128,low
58,direct,links,0.8358974358974359,high
59,direct,links,0.06666666666666665,low
60,direct,non-links,0.2615384615384615,low
